,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
158,18.0,0.0,3.0,1.0,0.0,1,1.0,0,2,0,1,16,5,0.0,NaN,0,0
159,13.0,0.0,3.0,1.0,0.0,1,0.0,16,0,0,0,0,0,0.0,0,0,0
160,32.5,1.0,4.0,1.0,0.0,2,1.0,18,156,3,1,18,0,,NaN,0,0
161,16.0,0.0,4.0,1.0,0.0,3,0.0,12,0,0,0,0,0,0.0,0,0,0
162,57.5,0.0,4.0,2.0,0.0,2,1.0,0,0,0,1,21,0,,NaN,21,26
163,22.5,0.0,4.0,2.0,0.0,3,1.0,16,156,2,1,15,364,,NaN,30,20
164,13.0,0.0,4.0,1.0,0.0,2,0.0,18,0,0,0,0,0,0.0,0,0,0
165,42.5,1.0,4.0,7.0,0.0,2,0.0,15,0,0,0,0,0,0.0,NaN,0,0
166,24.5,0.0,4.0,2.0,0.0,1,1.0,16,36,1,0,0,0,0.0,NaN,0,0
167,19.0,0.0,2.0,1.0,0.0,3,1.0,0,180,3,1,13,364,,NaN,30,17
168,19.0,1.0,4.0,1.0,0.0,3,1.0,15,104,2,1,15,0,,NaN,0,0
169,13.0,1.0,1.0,6.0,1.0,2,0.0,16,0,0,0,0,0,0.0,25,0,0
170,15.0,1.0,4.0,7.0,0.0,2,0.0,20,0,0,1,14,52,0.0,25,0,0
171,22.5,0.0,1.0,7.0,0.0,3,1.0,16,24,0,0,0,0,0.0,NaN,0,0
172,16.0,0.0,4.0,2.0,0.0,3,0.0,0,0,0,0,0,0,0.0,25,0,0
173,21.0,0.0,2.0,1.0,0.0,2,0.0,0,0,0,0,0,0,0.0,NaN,0,0
174,12.0,0.0,2.0,2.0,0.0,1,0.0,14,0,0,0,0,0,0.0,0,0,0
175,20.0,1.0,1.0,1.0,1.0,3,0.0,0,0,0,0,0,0,,NaN,30,18
176,27.5,1.0,1.0,1.0,1.0,1,0.0,21,0,0,0,0,0,,NaN,30,NaN
177,22.5,1.0,1.0,1.0,0.0,1,1.0,15,104,10,1,15,60,,NaN,24,15
178,27.5,1.0,2.0,2.0,0.0,2,1.0,15,180,2,1,13,0,,NaN,0,14
179,15.0,1.0,2.0,7.0,1.0,1,1.0,0,0,0,0,0,0,0.0,0,0,0
180,22.5,1.0,1.0,3.0,1.0,1,1.0,16,52,6,0,0,0,,NaN,4,0
181,57.5,1.0,1.0,1.0,1.0,2,1.0,0,104,12,1,19,0,,NaN,30,15
182,57.5,0.0,3.0,1.0,0.0,1,1.0,0,6,1,1,16,8,,NaN,28,18
183,13.0,0.0,3.0,7.0,0.0,1,0.0,21,0,0,0,0,0,0.0,0,0,0
184,70.0,1.0,4.0,1.0,0.0,1,1.0,18,0,0,1,37,0,,NaN,0,18
185,21.0,1.0,4.0,6.0,0.0,2,1.0,0,1,0,0,0,0,,NaN,0,0
186,42.5,0.0,1.0,1.0,1.0,1,1.0,21,72,3,1,15,0,,NaN,0,17
187,21.0,0.0,4.0,5.0,0.0,1,1.0,0,6,1,0,0,0,0.0,NaN,0,0
188,12.0,0.0,2.0,2.0,1.0,3,0.0,25,0,0,0,0,0,0.0,0,0,0
189,24.5,0.0,1.0,7.0,1.0,2,0.0,21,0,0,0,0,0,0.0,NaN,0,0
190,27.5,1.0,4.0,1.0,0.0,2,1.0,0,48,1,0,0,0,,NaN,0,0
191,13.0,1.0,1.0,1.0,1.0,2,1.0,0,0,0,0,0,0,0.0,0,0,0
192,22.5,1.0,2.0,7.0,0.0,1,1.0,21,144,8,1,16,0,,NaN,1,0
193,21.0,1.0,1.0,7.0,0.0,1,1.0,15,5,0,0,0,0,,NaN,0,0
194,16.0,0.0,3.0,1.0,0.0,1,1.0,0,0,0,1,16,1,0.0,25,0,0
195,13.0,1.0,2.0,2.0,0.0,1,0.0,10,0,0,0,0,0,0.0,25,0,0
196,18.0,0.0,1.0,2.0,1.0,1,1.0,0,2,0,0,0,0,0.0,NaN,0,0
197,15.0,0.0,3.0,2.0,0.0,1,0.0,0,0,0,0,0,0,0.0,0,0,0
198,70.0,1.0,1.0,1.0,0.0,3,0.0,0,0,0,0,0,0,0.0,NaN,0,0
199,42.5,1.0,4.0,1.0,0.0,1,1.0,16,36,3,1,16,0,,NaN,0,0
200,14.0,0.0,4.0,1.0,0.0,3,0.0,17,0,0,0,0,0,0.0,25,0,0
201,13.0,0.0,4.0,1.0,0.0,3,0.0,16,0,0,0,0,0,0.0,0,0,0
202,15.0,0.0,2.0,2.0,0.0,2,0.0,15,0,0,0,0,0,0.0,0,0,0
203,27.5,0.0,3.0,1.0,0.0,1,1.0,0,60,2,0,0,0,,NaN,0,0
204,42.5,0.0,4.0,5.0,0.0,1,1.0,17,104,2,1,22,0,,NaN,0,0
205,27.5,0.0,3.0,1.0,0.0,2,1.0,11,36,5,0,0,0,,NaN,1,23
206,22.5,1.0,4.0,1.0,0.0,2,1.0,18,36,2,1,15,60,,NaN,0,0
207,14.0,0.0,3.0,2.0,1.0,2,0.0,0,0,0,0,0,0,0.0,0,0,0
208,16.0,1.0,3.0,6.0,0.0,1,1.0,0,1,11,0,0,0,,NaN,0,0
209,24.5,1.0,1.0,7.0,1.0,3,1.0,25,156,10,1,15,342,,NaN,30,17
