,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days
257,13.0,0.0,4.0,1.0,1.0,1,0.0,17,0,0,0,0,0
258,27.5,1.0,2.0,1.0,0.0,1,1.0,25,156,1,0,0,0
259,15.0,1.0,3.0,6.0,1.0,1,0.0,9,0,0,0,0,0
260,42.5,1.0,4.0,5.0,0.0,3,1.0,20,0,0,0,0,0
261,27.5,1.0,1.0,7.0,1.0,1,0.0,21,0,0,0,0,0
262,20.0,1.0,2.0,1.0,1.0,2,0.0,13,0,0,0,0,0
263,42.5,1.0,4.0,7.0,0.0,1,1.0,21,156,4,1,17,0
264,42.5,0.0,4.0,2.0,0.0,1,1.0,0,48,1,0,0,0
265,57.5,0.0,3.0,1.0,0.0,1,1.0,14,0,0,1,25,0
266,42.5,0.0,4.0,1.0,0.0,2,1.0,23,312,2,1,17,0
267,42.5,1.0,4.0,5.0,0.0,1,0.0,0,0,0,0,0,0
268,57.5,0.0,3.0,1.0,0.0,2,1.0,14,52,1,0,0,0
269,42.5,0.0,4.0,2.0,0.0,1,1.0,17,10,0,1,12,0
270,57.5,0.0,3.0,1.0,0.0,2,1.0,15,1,0,0,0,0
271,16.0,1.0,2.0,6.0,0.0,1,0.0,17,0,0,0,0,0
272,70.0,0.0,1.0,2.0,1.0,2,1.0,15,341,1,0,0,0
273,27.5,1.0,2.0,1.0,0.0,2,1.0,17,24,8,1,21,208
274,42.5,0.0,2.0,1.0,0.0,1,1.0,13,2,0,1,40,0
275,18.0,0.0,2.0,2.0,1.0,2,1.0,16,12,0,0,0,0
276,24.5,0.0,4.0,1.0,0.0,1,1.0,18,4,0,1,14,0
277,27.5,1.0,4.0,1.0,0.0,3,1.0,0,260,1,0,0,0
278,27.5,1.0,2.0,1.0,0.0,2,1.0,16,48,0,0,0,0
279,21.0,0.0,1.0,1.0,0.0,1,1.0,18,104,5,1,18,36
280,21.0,0.0,3.0,1.0,0.0,1,1.0,14,12,2,1,17,0
281,16.0,1.0,3.0,1.0,0.0,2,0.0,10,0,0,0,0,0
282,24.5,1.0,4.0,1.0,0.0,1,1.0,21,48,8,1,18,0
283,42.5,1.0,4.0,1.0,0.0,2,1.0,0,288,6,0,0,0
284,42.5,0.0,2.0,7.0,0.0,2,0.0,0,0,0,0,0,0
285,22.5,1.0,1.0,7.0,1.0,1,1.0,0,20,2,1,15,0
286,70.0,0.0,1.0,1.0,0.0,3,1.0,26,240,0,0,0,0
287,13.0,1.0,2.0,7.0,1.0,2,0.0,12,0,0,0,0,0
288,22.5,0.0,2.0,2.0,1.0,2,1.0,0,0,0,1,13,260
289,27.5,0.0,1.0,1.0,1.0,3,1.0,14,30,10,1,10,0
290,42.5,0.0,2.0,2.0,0.0,1,1.0,0,5,0,0,0,0
291,57.5,1.0,3.0,1.0,0.0,2,1.0,0,5,2,1,15,12
292,13.0,1.0,4.0,1.0,0.0,1,0.0,17,0,0,0,0,0
293,42.5,0.0,1.0,1.0,1.0,1,1.0,21,12,3,1,15,48
294,13.0,1.0,4.0,2.0,0.0,3,0.0,13,0,0,0,0,0
295,20.0,0.0,2.0,1.0,0.0,2,0.0,21,0,0,0,0,0
296,15.0,1.0,2.0,7.0,0.0,1,0.0,15,0,0,0,0,0
297,20.0,1.0,1.0,2.0,0.0,2,0.0,17,0,0,0,0,0
298,14.0,0.0,2.0,2.0,0.0,1,0.0,14,0,0,0,0,0
299,18.0,1.0,4.0,1.0,0.0,1,0.0,18,0,0,0,0,0
300,57.5,1.0,4.0,1.0,0.0,3,1.0,21,48,1,1,15,0
301,32.5,1.0,4.0,1.0,0.0,1,1.0,0,156,2,1,16,0
302,42.5,1.0,4.0,1.0,0.0,1,1.0,16,260,4,1,16,260
303,27.5,1.0,3.0,1.0,0.0,1,1.0,0,104,1,1,20,0
304,14.0,0.0,3.0,2.0,0.0,3,1.0,15,24,4,0,0,0
305,16.0,0.0,3.0,1.0,0.0,1,0.0,0,0,0,0,0,0
306,20.0,0.0,2.0,7.0,0.0,2,0.0,17,0,0,0,0,0
307,32.5,0.0,2.0,1.0,1.0,1,1.0,0,5,8,1,12,1
308,42.5,1.0,4.0,7.0,0.0,1,1.0,18,10,0,1,20,120
309,12.0,1.0,4.0,1.0,0.0,1,0.0,22,0,0,0,0,0
310,18.0,1.0,2.0,1.0,0.0,1,1.0,0,36,11,1,14,260
311,15.0,0.0,4.0,1.0,0.0,1,1.0,14,Not sure,0,0,0,0
312,15.0,1.0,4.0,1.0,0.0,1,0.0,14,0,0,0,0,0
313,18.0,0.0,1.0,7.0,0.0,1,1.0,12,24,1,1,17,3
314,42.5,0.0,4.0,1.0,0.0,1,1.0,17,84,1,0,0,0
315,70.0,1.0,1.0,7.0,1.0,2,1.0,0,0,0,0,0,0
316,57.5,1.0,4.0,5.0,0.0,2,1.0,15,4,0,0,0,0
317,32.5,1.0,2.0,1.0,0.0,1,1.0,16,24,2,1,15,0
318,12.0,0.0,1.0,2.0,1.0,2,0.0,0,0,0,0,0,0
319,57.5,1.0,2.0,1.0,0.0,3,1.0,23,104,2,1,18,0
320,42.5,0.0,4.0,5.0,0.0,2,1.0,16,48,1,0,0,0
321,70.0,0.0,3.0,1.0,0.0,2,1.0,15,260,1,1,25,0
322,15.0,1.0,3.0,1.0,0.0,1,0.0,15,0,0,0,0,0
323,57.5,0.0,1.0,7.0,1.0,2,1.0,12,0,0,0,0,0
324,32.5,0.0,2.0,1.0,1.0,3,1.0,0,96,2,0,0,0
325,42.5,0.0,2.0,1.0,0.0,1,1.0,18,6,2,1,19,0
326,32.5,1.0,3.0,1.0,0.0,1,1.0,15,120,3,1,16,0
327,70.0,1.0,2.0,7.0,0.0,2,1.0,0,0,0,0,0,0
328,42.5,1.0,3.0,5.0,0.0,1,1.0,0,4,6,0,0,0
329,19.0,0.0,1.0,1.0,1.0,1,0.0,14,0,0,0,0,0
330,15.0,0.0,2.0,1.0,0.0,2,1.0,16,36,0,0,0,0
331,27.5,1.0,4.0,1.0,0.0,1,1.0,15,208,5,1,15,0
332,12.0,0.0,4.0,1.0,0.0,1,0.0,20,0,0,0,0,0
333,24.5,1.0,2.0,5.0,0.0,1,1.0,21,240,NaN,0,0,0
334,57.5,1.0,3.0,1.0,0.0,3,1.0,20,156,3,1,18,0
335,57.5,1.0,4.0,1.0,0.0,2,1.0,0,15,1,1,13,0
336,17.0,1.0,4.0,1.0,0.0,2,1.0,19,60,NaN,0,0,0
337,24.5,0.0,2.0,1.0,1.0,1,1.0,15,340,2,0,0,0
338,13.0,1.0,4.0,1.0,0.0,3,0.0,0,0,0,0,0,0
339,27.5,0.0,2.0,1.0,0.0,1,1.0,13,104,6,1,14,0
