,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
164,27.5,0,4,1,0,2,1,1,18,60,1,1,21,0,0,0,,NaN,0,0
165,57.5,1,4,1,0,2,1,1,15,335,3,1,16,40,1,0,,NaN,0,18
166,42.5,1,4,5,0,1,4,1,16,208,1,0,0,0,0,0,,NaN,0,0
167,57.5,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
168,22.5,0,1,1,1,3,4,1,15,2,0,1,15,0,0,0,,NaN,30,15
169,57.5,0,2,1,0,2,1,1,16,0,0,1,17,0,1,0,,NaN,0,35
170,42.5,0,3,1,0,2,1,1,20,180,1,0,0,0,0,0,,NaN,0,0
171,18.0,1,2,1,1,3,2,1,16,10,0,1,16,1,1,0,,NaN,0,0
172,14.0,1,1,2,1,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
173,18.0,1,2,1,0,2,4,0,0,0,0,0,0,0,0,0,,NaN,12,0
174,21.0,1,2,7,0,1,1,1,14,52,2,1,13,0,0,0,,NaN,0,0
175,57.5,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,,NaN,29,0
176,21.0,0,1,2,1,1,1,1,21,4,0,0,0,0,0,0,0.0,NaN,0,0
177,42.5,0,4,1,0,1,1,1,15,12,0,1,13,0,0,0,,NaN,30,18
178,27.5,1,4,1,0,2,1,1,15,36,4,0,0,0,0,0,0.0,NaN,0,0
179,18.0,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
180,32.5,0,3,2,0,1,2,1,16,60,2,1,12,0,0,0,,NaN,0,0
181,70.0,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,,NaN,0,0
182,13.0,0,3,6,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
183,42.5,1,4,1,0,1,1,1,21,5,0,0,0,0,0,0,0.0,NaN,0,0
184,19.0,0,2,7,1,1,2,1,18,11,0,1,16,0,0,0,,NaN,0,0
185,16.0,1,1,2,1,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
186,42.5,0,4,7,0,1,1,1,21,10,0,1,32,0,1,0,0.0,NaN,0,0
