,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month
205,70.0,1,2,1,1,2.0,4,0,11,0,0,0,0,0,0,0
206,70.0,1,1,1,0,2.0,4,1,18,24,2,0,0,0,0,0
207,22.5,0,1,1,0,2.0,4,1,0,104,3,0,0,0,0,0
208,70.0,0,1,1,1,1.0,4,0,0,0,0,0,0,0,0,0
209,27.5,0,4,7,0,3.0,2,1,25,12,2,1,17,0,0,0
210,18.0,1,1,1,0,1.0,4,1,13,72,3,0,0,0,1,4
211,57.5,0,2,7,1,3.0,3,1,17,0,0,1,14,0,0,0
212,24.5,1,2,1,0,1.0,4,1,0,12,0,0,0,0,0,0
213,70.0,0,4,1,0,1.0,4,1,13,72,1,0,0,0,0,0
214,42.5,1,3,1,0,1.0,1,1,13,120,3,1,30,2,1,1
215,32.5,0,4,1,0,2.0,1,1,16,9,1,0,0,0,0,0
216,27.5,0,3,7,1,3.0,4,1,0,0,0,1,17,0,0,0
217,42.5,0,4,1,0,3.0,2,1,19,3,0,1,16,5,1,0
218,12.0,0,1,2,1,1.0,99,0,18,0,0,0,0,0,0,0
219,57.5,1,3,1,0,1.0,1,1,15,36,1,0,0,0,1,0
220,57.5,1,3,1,0,2.0,4,1,18,5,1,1,16,300,0,0
221,22.5,0,4,1,0,2.0,1,1,12,36,2,0,0,0,0,0
222,42.5,0,3,1,0,3.0,4,1,16,15,0,0,0,0,0,0
223,15.0,1,4,1,0,1.0,99,0,10,0,0,0,0,0,0,0
224,42.5,0,2,1,1,2.0,4,1,16,260,5,1,13,364,1,15
225,14.0,1,2,1,0,2.0,99,0,9,0,0,0,0,0,0,0
226,14.0,0,2,1,0,1.0,99,0,0,0,0,0,0,0,0,0
227,70.0,1,1,1,0,2.0,4,1,12,84,NaN,0,0,0,0,0
228,42.5,1,4,1,0,1.0,1,1,15,363,2,1,19,0,0,0
229,32.5,0,1,1,1,1.0,4,0,17,0,0,0,0,0,0,0
230,42.5,1,4,1,0,1.0,1,1,0,156,1,1,20,0,0,0
231,12.0,0,3,1,0,2.0,99,0,0,0,0,0,0,0,0,0
232,13.0,0,4,1,0,1.0,99,1,16,12,0,0,0,0,0,0
233,22.5,0,2,1,1,2.0,3,1,12,3,0,1,16,0,0,0
234,42.5,1,4,1,0,3.0,4,1,17,96,1,1,22,0,0,0
235,17.0,0,2,1,0,2.0,99,1,18,5,NaN,1,17,30,0,0
236,14.0,0,3,2,0,1.0,99,0,0,0,0,0,0,0,0,0
237,19.0,1,1,1,0,1.0,2,0,0,0,0,0,0,0,0,0
238,27.5,1,2,1,0,2.0,1,1,21,72,3,1,18,208,1,0
239,70.0,0,2,1,0,1.0,4,1,NaN,0,0,0,0,0,0,0
240,27.5,0,4,7,0,3.0,1,1,21,8,8,1,12,4,0,0
241,12.0,0,4,1,0,1.0,99,0,17,0,0,0,0,0,0,0
242,42.5,0,3,1,1,2.0,4,1,14,0,0,1,14,0,0,0
243,42.5,0,4,1,0,2.0,1,1,18,104,2,1,32,0,0,0
244,17.0,0,4,1,0,2.0,99,0,18,0,0,0,0,0,0,0
245,32.5,1,2,1,0,2.0,1,1,18,12,0,0,0,0,0,0
246,17.0,0,4,7,0,1.0,99,0,14,0,0,0,0,0,0,0
247,24.5,0,1,1,1,2.0,4,1,27,104,2,0,0,0,0,0
248,19.0,0,4,1,0,2.0,2,0,18,0,0,0,0,0,0,0
249,32.5,0,2,2,0,3.0,1,1,0,24,1,0,0,0,0,0
250,70.0,0,2,1,0,1.0,4,1,18,0,0,0,0,0,0,0
251,17.0,0,4,1,0,1.0,99,1,0,2,0,0,0,0,0,0
252,13.0,1,1,1,1,2.0,99,0,16,0,0,0,0,0,0,0
253,32.5,0,2,7,0,2.0,1,1,16,30,2,0,0,0,0,0
254,18.0,0,1,6,1,2.0,4,0,15,0,0,0,0,0,0,0
255,15.0,0,4,1,0,1.0,99,1,17,1,0,0,0,0,0,0
256,19.0,0,2,1,0,3.0,2,1,16,24,1,1,15,312,0,0
257,42.5,0,3,1,0,1.0,1,1,17,7,0,0,0,0,0,0
258,21.0,1,3,1,0,1.0,4,1,25,1,1,1,17,0,0,0
259,20.0,0,1,6,0,1.0,1,1,9,84,1,1,18,0,1,0
260,70.0,0,4,1,0,3.0,4,1,20,36,0,1,19,0,0,0
261,15.0,1,4,1,0,1.0,99,0,21,0,0,0,0,0,0,0
262,70.0,1,4,1,0,2.0,4,1,13,104,1,0,0,0,0,0
